  itemid,                     name, sell01,  buy01,          price01, stock01, sell12,  buy12,          price12, stock12
       2,               Simple Bed,      1,      1,             1050,       5,      0,      1,                1,       5
       3,                  Oak Bed,      1,      1,            20000,       5,      0,      1,                1,       5
       4,             Mahogany Bed,      1,      1,            25000,       5,      0,      1,                1,       5
       5,               Bronze Bed,      1,      1,            20000,       5,      0,      1,                1,       5
       6,              Noble's Bed,      1,      1,            70000,       5,      0,      1,                1,       5
       8,                Royal Bed,      1,      1,            50000,       5,      0,      1,                1,       5
      21,                     Desk,      1,      1,             5000,       5,      0,      1,                1,       5
      22,                Workbench,      1,      1,             1000,       5,      0,      1,                1,       5
      23,              Maple Table,      1,      1,             1000,       5,      0,      1,                1,       5
      24,                Oak Table,      1,      1,            10000,       5,      0,      1,                1,       5
      26,            Tarutaru Desk,      1,      1,             3000,       5,      0,      1,                1,       5
      29,               Secretaire,      1,      1,             5000,       5,      0,      1,                1,       5
      30,                   Bureau,      1,      1,            10000,       5,      0,      1,                1,       5
      32,                  Dresser,      1,      1,            35000,       5,      0,      1,                1,       5
      33,         Millionaire Desk,      1,      1,            40000,       5,      0,      1,                1,       5
      43,               Wicker Box,      1,      1,             4000,       5,      0,      1,                1,       5
      46,                Armor Box,      1,      1,             3500,       5,      0,      1,                1,       5
      49,                   Coffer,      1,      1,             5000,       5,      0,      1,                1,       5
      51,                    Chest,      1,      1,             1000,       5,      0,      1,                1,       5
      55,                  Cabinet,      1,      1,            10000,       5,      0,      1,                1,       5
      56,                  Commode,      1,      1,             9550,       5,      0,      1,                1,       5
      59,               Chiffonier,      1,      1,            10000,       5,      0,      1,                1,       5
      61,                  Armoire,      1,      1,            20000,       5,      0,      1,                1,       5
      76,          Royal Bookshelf,      1,      1,            60000,       5,      0,      1,                1,       5
      77,                Bookshelf,      1,      1,            40000,       5,      0,      1,                1,       5
      86,         San D'Orian Tree,      1,      1,            20000,       5,      0,      1,                1,       5
      87,                Kadomatsu,      1,      1,             5000,       5,      0,      1,                1,       5
      90,             Rusty Bucket,      1,      1,              100,       5,      0,      1,                1,       5
      91,             Blue Pitcher,      1,      1,            20000,       5,      0,      1,                1,       5
      92,           Tarutaru Stool,      1,      1,             2000,       5,      0,      1,                1,       5
      93,               Water Cask,      1,      1,             1000,       5,      0,      1,                1,       5
      95,             Water Barrel,      1,      1,             5000,       5,      0,      1,                1,       5
      96,          Beverage Barrel,      1,      1,            12000,       5,      0,      1,                1,       5
      97,              Book Holder,      1,      1,             1000,       5,      0,      1,                1,       5
      98,          Scimitar Cactus,      1,      1,            10000,       5,      0,      1,                1,       5
      99,             Elshimo Palm,      1,      1,            10000,       5,      0,      1,                1,       5
     102,             Flower Stand,      1,      1,             1000,       5,      0,      1,                1,       5
     103,            Goldfish Bowl,      1,      1,            80000,       5,      0,      1,                1,       5
     104,                   Taru F,      1,      1,             3000,       5,      0,      1,                1,       5
     107,                Water Jug,      1,      1,             1000,       5,      0,      1,                1,       5
     110,                White Jar,      1,      1,             2000,       5,      0,      1,                1,       5
     112,               Yellow Jar,      1,      1,             1000,       5,      0,      1,                1,       5
     113,        Cleaning Tool Set,      1,      1,            10000,       5,      0,      1,                1,       5
     115,            Bastokan Tree,      1,      1,            10000,       5,      0,      1,                1,       5
     116,         Windurstian Tree,      1,      1,            10000,       5,      0,      1,                1,       5
     120,                        F,      1,      1,            10000,       5,      0,      1,                1,       5
     121,                        S,      1,      1,            10000,       5,      0,      1,                1,       5
     122,                 Amir Bed,      1,      1,            10000,       5,      0,      1,                1,       5
     123,               Athenienne,      1,      1,            15001,       5,      0,      1,                1,       5
     124,                 Wardrobe,      1,      1,            20000,       5,      0,      1,                1,       5
     125,                Reliquary,      1,      1,            10000,       5,      0,      1,                1,       5
     126,             Falsiam Vase,      1,      1,            10000,       5,      0,      1,                1,       5
     127,             Coffee Table,      1,      1,            20000,       5,      0,      1,                1,       5
     128,                  Console,      1,      1,            10000,       5,      0,      1,                1,       5
     130,               Marble Bed,      1,      1,            30000,       5,      0,      1,                1,       5
     132,            Tableware Set,      1,      1,            20000,       5,      0,      1,                1,       5
     133,                  Tea Set,      1,      1,            10000,       5,      0,      1,                1,       5
     139,               Star Globe,      1,      1,            10000,       5,      0,      1,                1,       5
     143,                    Ngoma,      1,      1,            90000,       5,      0,      1,                1,       5
     144,                  Caisson,      1,      1,             4055,       5,      0,      1,                1,       5
     145,                 Thurible,      1,      1,            10000,       5,      0,      1,                1,       5
     146,           Walahra Burner,      1,      1,            20000,       5,      0,      1,                1,       5
     147,        Imperial Tapestry,      1,      1,            10000,       5,      0,      1,                1,       5
